0x00d2 : 0000 0000 1101 0010 = lsls r2, r2, #3
0x00d3 : 0000 0000 1101 0011 = lsls r3, r2, #3
0x00d4 : 0000 0000 1101 0100 = lsls r4, r2, #3
0x00d5 : 0000 0000 1101 0101 = lsls r5, r2, #3
0x00d6 : 0000 0000 1101 0110 = lsls r6, r2, #3
0x00d7 : 0000 0000 1101 0111 = lsls r7, r2, #3
0x00d8 : 0000 0000 1101 1000 = lsls r0, r3, #3
0x00d9 : 0000 0000 1101 1001 = lsls r1, r3, #3
0x00da : 0000 0000 1101 1010 = lsls r2, r3, #3
0x00db : 0000 0000 1101 1011 = lsls r3, r3, #3
0x00dc : 0000 0000 1101 1100 = lsls r4, r3, #3
0x00dd : 0000 0000 1101 1101 = lsls r5, r3, #3
0x00de : 0000 0000 1101 1110 = lsls r6, r3, #3
0x00df : 0000 0000 1101 1111 = lsls r7, r3, #3
0x00e0 : 0000 0000 1110 0000 = lsls r0, r4, #3
0x00e1 : 0000 0000 1110 0001 = lsls r1, r4, #3
0x00e2 : 0000 0000 1110 0010 = lsls r2, r4, #3
0x00e3 : 0000 0000 1110 0011 = lsls r3, r4, #3
0x00e4 : 0000 0000 1110 0100 = lsls r4, r4, #3
0x00e5 : 0000 0000 1110 0101 = lsls r5, r4, #3
0x00e6 : 0000 0000 1110 0110 = lsls r6, r4, #3
0x00e7 : 0000 0000 1110 0111 = lsls r7, r4, #3
0x00e8 : 0000 0000 1110 1000 = lsls r0, r5, #3
0x00e9 : 0000 0000 1110 1001 = lsls r1, r5, #3
0x00ea : 0000 0000 1110 1010 = lsls r2, r5, #3
0x00eb : 0000 0000 1110 1011 = lsls r3, r5, #3
0x00ec : 0000 0000 1110 1100 = lsls r4, r5, #3
0x00ed : 0000 0000 1110 1101 = lsls r5, r5, #3
0x00ee : 0000 0000 1110 1110 = lsls r6, r5, #3
0x00ef : 0000 0000 1110 1111 = lsls r7, r5, #3
0x00f0 : 0000 0000 1111 0000 = lsls r0, r6, #3
0x00f1 : 0000 0000 1111 0001 = lsls r1, r6, #3
0x00f2 : 0000 0000 1111 0010 = lsls r2, r6, #3
0x00f3 : 0000 0000 1111 0011 = lsls r3, r6, #3
0x00f4 : 0000 0000 1111 0100 = lsls r4, r6, #3
0x00f5 : 0000 0000 1111 0101 = lsls r5, r6, #3
0x00f6 : 0000 0000 1111 0110 = lsls r6, r6, #3
0x00f7 : 0000 0000 1111 0111 = lsls r7, r6, #3
0x00f8 : 0000 0000 1111 1000 = lsls r0, r7, #3
0x00f9 : 0000 0000 1111 1001 = lsls r1, r7, #3
0x00fa : 0000 0000 1111 1010 = lsls r2, r7, #3
0x00fb : 0000 0000 1111 1011 = lsls r3, r7, #3
0x00fc : 0000 0000 1111 1100 = lsls r4, r7, #3
0x00fd : 0000 0000 1111 1101 = lsls r5, r7, #3
0x00fe : 0000 0000 1111 1110 = lsls r6, r7, #3
0x00ff : 0000 0000 1111 1111 = lsls r7, r7, #3
0x0100 : 0000 0001 0000 0000 = lsls r0, r0, #4
0x0101 : 0000 0001 0000 0001 = lsls r1, r0, #4
0x0102 : 0000 0001 0000 0010 = lsls r2, r0, #4
0x0103 : 0000 0001 0000 0011 = lsls r3, r0, #4
0x0104 : 0000 0001 0000 0100 = lsls r4, r0, #4
